ticker,cv_mape,val_mape,current_price,predicted_price,predicted_change,volatility_4w,RSI,risk_score
RIOT,24.94%,26.23%,18.5,13.36,-27.78%,13.29%,59.6,79.8
MARA,28.25%,55.16%,11.46,19.38,+69.12%,10.58%,52.3,76.1
NKTR,49.72%,40.27%,86.46,49.2,-43.09%,7.04%,68.5,73.9
MSTR,41.11%,50.43%,177.17,254.16,+43.45%,12.61%,49.7,73.4
OCGN,27.88%,29.36%,1.8,1.12,-37.86%,13.13%,53.6,69.4
SAVA,612.44%,84.53%,1.51,4.68,+209.87%,5.85%,34.6,68.2
HOOD,43.77%,35.59%,73.66,69.46,-5.70%,19.58%,40.9,67.2
COIN,20.45%,14.21%,191.25,204.57,+6.96%,13.08%,43.5,66.3
TSLA,22.61%,17.35%,390.82,269.66,-31.00%,9.30%,48.8,64.7
ARKK,20.67%,17.82%,76.92,52.09,-32.28%,7.74%,53.8,56.9
NVDA,14.61%,13.96%,198.45,147.68,-25.58%,5.36%,58.4,56.2
AMZN,9.93%,10.46%,268.26,226.69,-15.50%,5.10%,67.3,55.3
QQQ,10.90%,14.80%,674.15,549.71,-18.46%,2.10%,68.9,41.2
MSFT,9.10%,5.01%,414.44,417.73,+0.79%,7.53%,46.3,39.6
SPY,8.27%,12.96%,720.65,601.78,-16.49%,1.96%,66.3,38.0
AAPL,10.53%,12.47%,280.14,250.55,-10.56%,1.57%,62.3,36.3
